,Timestamp,Accel,Gyr,Label,Sep
163,13:25:40.658913,[ -558 -1361 -1052  -745    95    97  -293 -1674   244],[-235 -129 -102 1518  -86 -776  559 -328  276],fists,False
164,13:25:40.667947,[ -605 -1291  -966  -745    95    97  -347 -1645   224],[-348  -43 -200 1571 -123 -755  559 -328  276],fists,False
165,13:25:40.677390,[ -718 -1323 -1010  -633    93    32  -479 -1781   204],[-427  -13 -279 1836 -103 -746  559 -328  276],fists,False
166,13:25:40.685368,[ -911 -1420 -1125  -633    93    32  -599 -2097   174],[-446   33 -270 2169  -87 -790  559 -328  276],fists,False
167,13:25:40.695294,[-1114 -1556 -1235  -633    93    32  -673 -2321   162],[-381    4 -147 2269 -111 -861  490 -258  270],fists,False
168,13:25:40.703319,[-1168 -1613 -1277  -633    93    32  -694 -2405   143],[-272  -26    5 2326 -140 -902  490 -258  270],fists,False
169,13:25:40.712342,[-1168 -1695 -1287  -633    93    32  -671 -2469   180],[-136  -69  160 2231 -157 -924  490 -258  270],fists,False
170,13:25:40.721326,[-1099 -1744 -1288  -483    59   -75  -599 -2425   195],[  18  -93  235 2137 -103 -933  490 -258  270],fists,False
171,13:25:40.730035,[ -978 -1703 -1239  -483    59   -75  -537 -2288   216],[ 149  -64  259 1987 -125 -888  421 -101  188],fists,False
172,13:25:40.738569,[ -906 -1627 -1223  -483    59   -75  -507 -2179   192],[ 265  -28  250 1913 -102 -875  421 -101  188],fists,False
173,13:25:40.747708,[ -800 -1520 -1225  -483    59   -75  -398 -2004   225],[ 273   65  214 1689 -150 -829  421 -101  188],fists,False
174,13:25:40.756348,[ -719 -1400 -1090  -307     3   -54  -396 -1759   201],[ 220  122  143 1581 -137 -744  421 -101  188],fists,False
175,13:25:40.765034,[ -673 -1303 -1013  -307     3   -54  -400 -1655   212],[  96  168   31 1563 -151 -727  421 -101  188],fists,False
176,13:25:40.775091,[ -667 -1291  -995  -307     3   -54  -397 -1665   182],[ -16  210  -75 1612 -179 -759  220   65   83],fists,False
177,13:25:40.783578,[ -757 -1314 -1088  -307     3   -54  -513 -1813   156],[-118  254 -146 1846 -158 -731  220   65   83],fists,False
178,13:25:40.791790,[ -954 -1419 -1079  -307     3   -54  -646 -2060   154],[-134  223 -155 2046 -179 -735  220   65   83],fists,False
179,13:25:40.799939,[-1048 -1481 -1218  -140   -22    24  -671 -2207   149],[-125  174  -78 2173 -166 -789  220   65   83],fists,False
180,13:25:40.808735,[-1077 -1498 -1237  -140   -22    24  -683 -2225   140],[ -88  120   59 2055  -78 -802  220   65   83],fists,False
181,13:25:40.818857,[-1070 -1530 -1227  -140   -22    24  -619 -2150   156],[ -36   71  141 2180 -308 -801   23  120   -5],fists,False
182,13:25:40.827015,[ -999 -1493 -1181  -140   -22    24  -609 -2121   169],[   2   78  196 1959 -196 -772   23  120   -5],fists,False
183,13:25:40.835007,[ -899 -1494 -1168   -17    27    37  -559 -2024   155],[  38   89  168 1878 -107 -755   23  120   -5],fists,False
184,13:25:40.843491,[ -848 -1450 -1190   -17    27    37  -531 -1948   143],[  52   99  137 1841 -160 -684   23  120   -5],fists,False
185,13:25:40.852670,[ -785 -1345 -1154   -17    27    37  -625 -1832   119],[  19  134   45 1874 -233 -610  -85   71   41],fists,False
186,13:25:40.861470,[ -839 -1274 -1087   -17    27    37  -578 -1702    78],[  -7  127  -96 1615  -92 -628  -85   71   41],fists,False
187,13:25:40.870017,[ -799 -1250 -1062   -17    27    37  -595 -1693    96],[-107  132 -200 1465 -184 -614  -85   71   41],fists,False
188,13:25:40.878051,[ -805 -1256 -1067     6   118     7  -607 -1810   117],[-164  124 -290 1884  -64 -604  -85   71   41],fists,False
189,13:25:40.886978,[ -979 -1331 -1148     6   118     7  -725 -1987    84],[-192   92 -322 2052  -84 -603  -85   71   41],fists,False
190,13:25:40.896067,[-1085 -1374 -1261     6   118     7  -814 -2170    33],[-185   39 -263 2289 -227 -619 -105   52  105],fists,False
191,13:25:40.905040,[-1245 -1478 -1299     6   118     7  -869 -2326    49],[-128  -55 -162 2207 -234 -691 -105   52  105],fists,False
192,13:25:40.913019,[-1172 -1571 -1302     6   118     7  -722 -2336   132],[ -48 -131  -23 2144 -171 -851 -105   52  105],fists,False
193,13:25:40.922639,[-1006 -1615 -1281    13   130   -19  -568 -2248   156],[  45 -178   47 2008 -424 -889 -105   52  105],fists,False
194,13:25:40.931287,[ -884 -1599 -1216    13   130   -19  -458 -2094   162],[ 117 -143   -7 1675 -718 -811  -59   17  123],fists,False
195,13:25:40.939972,[ -749 -1610 -1141    13   130   -19  -454 -2079   272],[ 187  -97  -56 2391 1442 -891  -59   17  123],fists,False
196,13:25:40.949237,[ -737 -1537 -1153    13   130   -19  -452 -1884    72],[ 232  -98 -137 1539  598 -798  -59   17  123],fists,False
197,13:25:40.957161,[ -649 -1432 -1145     8   135  -102  -496 -1750   167],[ 181  -29 -209 1434  399 -821  -59   17  123],fists,False
198,13:25:40.966198,[ -693 -1264 -1073     8   135  -102  -442 -1709   198],[   9   31 -239 1788 -178 -700  -59   17  123],fists,False
199,13:25:40.976347,[ -767 -1346 -1061     8   135  -102  -508 -1828   162],[ -58   52 -301 1870 -226 -781   20  -81  106],fists,False
200,13:25:40.985322,[ -852 -1448 -1057     8   135  -102  -532 -1946   192],[-101   40 -279 1759 -145 -784   20  -81  106],fists,False
201,13:25:40.994352,[ -852 -1385 -1117     8   135  -102  -495 -1911   168],[-135   45 -271 1797  -28 -791   20  -81  106],fists,False
